Current Franchise,Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers,Best Player,WAR,code,Playoff finish,Regular season rank,Attendance Rank
Arizona Diamondbacks,2019,Arizona Diamondbacks,NL West,162,85,77,0,0.525,0.541,2nd of 5,21,,813,743,"2,135,510",28.7,28.6,45,27,K.Marte (6.9),T.Lovullo (85-77),K.Marte ,6.9,4,No,11,16
Arizona Diamondbacks,2018,Arizona Diamondbacks,NL West,162,82,80,0,0.506,0.533,3rd of 5,9.5,,693,644,"2,242,695",29.2,29.6,49,30,P.Goldschmidt (5.4),T.Lovullo (82-80),P.Goldschmidt ,5.4,4,No,14,15
Arizona Diamondbacks,2017,Arizona Diamondbacks,NL West,162,93,69,0,0.574,0.594,2nd of 5,11,Lost LDS (3-0),812,659,"2,134,375",28.3,28.7,45,23,Z.Greinke (6.0),T.Lovullo (93-69),Z.Greinke ,6,4,5,5,20
Arizona Diamondbacks,2016,Arizona Diamondbacks,NL West,162,69,93,0,0.426,0.424,4th of 5,22,,752,890,"2,036,216",26.7,26.4,50,29,J.Segura (5.5),C.Hale (69-93),J.Segura ,5.5,4,No,19,21
Arizona Diamondbacks,2015,Arizona Diamondbacks,NL West,162,79,83,0,0.488,0.504,3rd of 5,13,,720,713,"2,080,145",26.6,27.1,50,27,P.Goldschmidt (8.7),C.Hale (79-83),P.Goldschmidt ,8.7,4,No,17,23
Arizona Diamondbacks,2014,Arizona Diamondbacks,NL West,162,64,98,0,0.395,0.415,5th of 5,30,,615,742,"2,073,730",27.6,28,52,25,P.Goldschmidt (4.6),K.Gibson (63-96) and A.Trammell (1-2),P.Goldschmidt ,4.6,4,No,20,22
Arizona Diamondbacks,2013,Arizona Diamondbacks,NL West,162,81,81,0,0.5,0.493,2nd of 5,11,,685,695,"2,134,895",28.1,27.6,44,23,P.Goldschmidt (7.1),K.Gibson (81-81),P.Goldschmidt ,7.1,4,No,11,22
Arizona Diamondbacks,2012,Arizona Diamondbacks,NL West,162,81,81,0,0.5,0.53,3rd of 5,13,,734,688,"2,177,617",28.3,27.4,48,23,A.Hill (5.1),K.Gibson (81-81),A.Hill ,5.1,4,No,12,19
Arizona Diamondbacks,2011,Arizona Diamondbacks,NL West,162,94,68,0,0.58,0.545,1st of 5,--,Lost LDS (3-2),731,662,"2,105,432",28.2,27.4,51,25,J.Upton (5.5),K.Gibson (94-68),J.Upton ,5.5,4,5,5,18
Arizona Diamondbacks,2010,Arizona Diamondbacks,NL West,162,65,97,0,0.401,0.428,5th of 5,27,,713,836,"2,056,697",26.8,27.9,48,28,C.Young (5.4),A.Hinch (31-48) and K.Gibson (34-49),C.Young ,5.4,4,No,22,21
Arizona Diamondbacks,2009,Arizona Diamondbacks,NL West,162,70,92,0,0.432,0.462,5th of 5,25,,720,782,"2,128,765",26.5,27.7,45,24,D.Haren (7.0),B.Melvin (12-17) and A.Hinch (58-75),D.Haren ,7,4,No,20,19
Arizona Diamondbacks,2008,Arizona Diamondbacks,NL West,162,82,80,0,0.506,0.509,2nd of 5,2,,720,706,"2,509,924",26.7,29.4,41,20,D.Haren (6.5),B.Melvin (82-80),D.Haren ,6.5,4,No,14,15
Arizona Diamondbacks,2007,Arizona Diamondbacks,NL West,162,90,72,0,0.556,0.487,1st of 5,--,Lost NLCS (4-0),712,732,"2,325,249",26.6,28.2,47,26,B.Webb (5.9),B.Melvin (90-72),B.Webb ,5.9,4,3,3,20
Arizona Diamondbacks,2006,Arizona Diamondbacks,NL West,162,76,86,0,0.469,0.491,4th of 5,12,,773,788,"2,091,685",29.7,28.8,45,25,B.Webb (7.0),B.Melvin (76-86),B.Webb ,7,4,No,17,24
Arizona Diamondbacks,2005,Arizona Diamondbacks,NL West,162,77,85,0,0.475,0.406,2nd of 5,5,,696,856,"2,059,424",30.3,27.4,43,25,C.Counsell (5.5),B.Melvin (77-85),C.Counsell ,5.5,4,No,13,20
Arizona Diamondbacks,2004,Arizona Diamondbacks,NL West,162,51,111,0,0.315,0.333,5th of 5,42,,615,899,"2,519,560",28.9,29.3,52,25,R.Johnson (8.2),B.Brenly (29-50) and A.Pedrique (22-61),R.Johnson ,8.2,4,No,24,13
Arizona Diamondbacks,2003,Arizona Diamondbacks,NL West,162,84,78,0,0.519,0.521,3rd of 5,16.5,,717,685,"2,805,542",30.6,29.2,43,22,B.Webb (5.9),B.Brenly (84-78),B.Webb ,5.9,4,No,12,8
Arizona Diamondbacks,2002,Arizona Diamondbacks,NL West,162,98,64,0,0.605,0.588,1st of 5,--,Lost LDS (3-0),819,674,"3,198,977",31.7,31.7,42,20,R.Johnson (10.5),B.Brenly (98-64),R.Johnson ,10.5,4,5,5,4
Arizona Diamondbacks,2001,Arizona Diamondbacks,NL West,162,92,70,0,0.568,0.586,1st of 5,--,Won WS (4-3),818,677,"2,736,451",31.9,30.9,47,22,R.Johnson (9.5),B.Brenly (92-70),R.Johnson ,9.5,4,1,5,14
Arizona Diamondbacks,2000,Arizona Diamondbacks,NL West,162,85,77,0,0.525,0.522,3rd of 5,12,,792,754,"2,942,251",30.8,31.6,41,17,R.Johnson (8.1),B.Showalter (85-77),R.Johnson ,8.1,4,No,9,9
Arizona Diamondbacks,1999,Arizona Diamondbacks,NL West,162,100,62,0,0.617,0.632,1st of 5,--,Lost LDS (3-1),908,676,"3,019,654",30,30.6,43,20,R.Johnson (8.6),B.Showalter (100-62),R.Johnson ,8.6,4,5,2,8
Atlanta Braves,2019,Atlanta Braves,NL East,162,97,65,0,0.599,0.564,1st of 5,--,Lost LDS (3-2),855,743,"2,655,100",28,27.5,50,32,J.Donaldson (6.1),B.Snitker (97-65),J.Donaldson ,6.1,4,5,5,11
Atlanta Braves,2018,Atlanta Braves,NL East,162,90,72,0,0.556,0.566,1st of 5,--,Lost LDS (3-1),759,657,"2,555,781",27.4,27.7,58,35,F.Freeman (6.1),B.Snitker (90-72),F.Freeman ,6.1,4,5,10,11
Atlanta Braves,2017,Atlanta Braves,NL East,162,72,90,0,0.444,0.448,3rd of 5,25,,732,821,"2,505,252",28.6,29.4,49,26,F.Freeman (4.4),B.Snitker (72-90),F.Freeman ,4.4,4,No,17,13
Atlanta Braves,2016,Atlanta Braves,NL East,161,68,93,0,0.422,0.417,5th of 5,26.5,,649,779,"2,020,914",28.9,26.4,60,35,F.Freeman (6.5),F.Gonzalez (9-28) and B.Snitker (59-65),F.Freeman ,6.5,4,No,20,22
Atlanta Braves,2015,Atlanta Braves,NL East,162,67,95,0,0.414,0.374,4th of 5,23,,573,760,"2,001,392",28.8,26.6,60,37,A.Simmons (3.9),F.Gonzalez (67-95),A.Simmons ,3.9,4,No,24,24
Atlanta Braves,2014,Atlanta Braves,NL East,162,79,83,0,0.488,0.481,2nd of 5,17,,573,597,"2,354,305",26.8,27.3,39,20,J.Heyward (5.8),F.Gonzalez (79-83),J.Heyward ,5.8,4,No,12,18
Atlanta Braves,2013,Atlanta Braves,NL East,162,96,66,0,0.593,0.603,1st of 5,--,Lost LDS (3-1),688,548,"2,548,679",26.8,27.2,44,21,A.Simmons (7.0),F.Gonzalez (96-66),A.Simmons ,7,4,5,2,13
Atlanta Braves,2012,Atlanta Braves,NL East,162,94,68,0,0.58,0.57,2nd of 5,4,Lost NLWC (1-0),700,600,"2,420,171",28.5,27.6,41,21,M.Bourn (6.0),F.Gonzalez (94-68),M.Bourn ,6,4,7,4,14
Atlanta Braves,2011,Atlanta Braves,NL East,162,89,73,0,0.549,0.526,2nd of 5,13,,641,605,"2,372,940",28.9,28.4,45,21,E.O'Flaherty (3.3),F.Gonzalez (89-73),E.O'Flaherty ,3.3,4,No,8,14
Atlanta Braves,2010,Atlanta Braves,NL East,162,91,71,0,0.562,0.573,2nd of 5,6,Lost LDS (3-1),738,629,"2,510,119",28.6,30.1,43,21,J.Heyward (6.4),B.Cox (91-71),J.Heyward ,6.4,4,5,6,13
Atlanta Braves,2009,Atlanta Braves,NL East,162,86,76,0,0.531,0.562,3rd of 5,7,,735,641,"2,373,631",28.8,28.9,45,21,J.Jurrjens (6.7),B.Cox (86-76),J.Jurrjens ,6.7,4,No,10,15
Atlanta Braves,2008,Atlanta Braves,NL East,162,72,90,0,0.444,0.485,4th of 5,20,,753,778,"2,532,834",27.2,28.6,49,28,C.Jones (7.3),B.Cox (72-90),C.Jones ,7.3,4,No,20,14
Atlanta Braves,2007,Atlanta Braves,NL East,162,84,78,0,0.519,0.546,3rd of 5,5,,810,733,"2,745,207",27.7,29.4,50,28,C.Jones (7.6),B.Cox (84-78),C.Jones ,7.6,4,No,9,14
Atlanta Braves,2006,Atlanta Braves,NL East,162,79,83,0,0.488,0.524,3rd of 5,18,,849,805,"2,550,524",27.5,29.4,45,26,J.Smoltz (5.8),B.Cox (79-83),J.Smoltz ,5.8,4,No,14,14
Atlanta Braves,2005,Atlanta Braves,NL East,162,90,72,0,0.556,0.56,1st of 5,--,Lost LDS (3-1),769,674,"2,521,167",28.1,28.6,45,26,A.Jones (6.7),B.Cox (90-72),A.Jones ,6.7,4,5,5,16
Atlanta Braves,2004,Atlanta Braves,NL East,162,96,66,0,0.593,0.583,1st of 5,--,Lost LDS (3-2),803,668,"2,327,565",28.9,30.1,39,21,J.Drew (8.3),B.Cox (96-66),J.Drew ,8.3,4,5,4,16
Atlanta Braves,2003,Atlanta Braves,NL East,162,101,61,0,0.623,0.592,1st of 5,--,Lost LDS (3-2),907,740,"2,401,084",30.3,31.1,34,17,M.Giles (7.9),B.Cox (101-61),M.Giles ,7.9,4,5,1,12
Atlanta Braves,2002,Atlanta Braves,NL East,161,101,59,1,0.631,0.602,1st of 5,--,Lost LDS (3-2),708,565,"2,603,484",30.6,31.1,38,20,A.Jones (6.6),B.Cox (101-59),A.Jones ,6.6,4,5,3,13
Atlanta Braves,2001,Atlanta Braves,NL East,162,88,74,0,0.543,0.557,1st of 5,--,Lost NLCS (4-1),729,643,"2,823,530",30.3,31.1,47,23,C.Jones (5.9),B.Cox (88-74),C.Jones ,5.9,4,3,8,11
Atlanta Braves,2000,Atlanta Braves,NL East,162,95,67,0,0.586,0.557,1st of 5,--,Lost LDS (3-0),810,714,"3,234,304",30.8,31.4,47,22,A.Jones (8.2),B.Cox (95-67),A.Jones ,8.2,4,5,2,6
Atlanta Braves,1999,Atlanta Braves,NL East,162,103,59,0,0.636,0.608,1st of 5,--,Lost WS (4-0),840,661,"3,284,897",29.6,28.6,44,22,A.Jones (7.1),B.Cox (103-59),A.Jones ,7.1,4,2,1,5
Atlanta Braves,1998,Atlanta Braves,NL East,162,106,56,0,0.654,0.656,1st of 5,--,Lost NLCS (4-2),826,581,"3,360,860",28.9,29.5,42,19,A.Jones (7.4),B.Cox (106-56),A.Jones ,7.4,4,3,2,4
Atlanta Braves,1997,Atlanta Braves,NL East,162,101,61,0,0.623,0.638,1st of 5,--,Lost NLCS (4-2),791,581,"3,464,488",27.9,28.5,38,17,G.Maddux (7.7),B.Cox (101-61),G.Maddux ,7.7,4,3,1,3
Atlanta Braves,1996,Atlanta Braves,NL East,162,96,66,0,0.593,0.58,1st of 5,--,Lost WS (4-2),773,648,"2,901,242",27.9,27.9,42,18,J.Smoltz (7.7),B.Cox (96-66),J.Smoltz ,7.7,4,2,2,5
Atlanta Braves,1995,Atlanta Braves,NL East,144,90,54,0,0.625,0.581,1st of 5,--,Won WS (4-2),645,540,"2,561,831",27.9,27.4,40,20,G.Maddux (9.6),B.Cox (90-54),G.Maddux ,9.6,4,1,2,6
Atlanta Braves,1994,Atlanta Braves,NL East,114,68,46,0,0.596,0.586,2nd of 5,6,,542,448,"2,539,240",28.2,27.4,31,13,G.Maddux (8.7),B.Cox (68-46),G.Maddux ,8.7,4,No,3,3
Atlanta Braves,1993,Atlanta Braves,NL West,162,104,58,0,0.642,0.641,1st of 7,--,Lost NLCS (4-2),767,559,"3,884,720",28.8,26.8,33,13,R.Gant (6.5),B.Cox (104-58),R.Gant ,6.5,4,3,1,3
Atlanta Braves,1992,Atlanta Braves,NL West,162,98,64,0,0.605,0.582,1st of 6,--,Lost WS (4-2),682,569,"3,077,400",28.4,27.5,41,19,T.Pendleton (5.0),B.Cox (98-64),T.Pendleton ,5,4,2,1,3
Atlanta Braves,1991,Atlanta Braves,NL West,162,94,68,0,0.58,0.569,1st of 6,--,Lost WS (4-3),749,644,"2,140,217",28,27.1,43,20,T.Glavine (9.2),B.Cox (94-68),T.Glavine ,9.2,4,2,3,16
Atlanta Braves,1990,Atlanta Braves,NL West,162,65,97,0,0.401,0.416,6th of 6,26,,682,821,"980,129",27.4,25.8,46,23,R.Gant (5.6),R.Nixon (25-40) and B.Cox (40-57),R.Gant ,5.6,4,No,18,26
Atlanta Braves,1989,Atlanta Braves,NL West,161,63,97,1,0.394,0.431,6th of 6,28,,584,680,"984,930",28.1,25.4,46,23,L.Smith (8.8),R.Nixon (63-97),L.Smith ,8.8,3,No,18,26
Atlanta Braves,1988,Atlanta Braves,NL West,160,54,106,0,0.338,0.371,6th of 6,39.5,,555,741,"848,089",28.9,27.4,40,19,P.Smith (3.2),C.Tanner (12-27) and R.Nixon (42-79),P.Smith ,3.2,3,No,24,26
Atlanta Braves,1987,Atlanta Braves,NL West,161,69,92,0,0.429,0.452,5th of 6,20.5,,747,829,"1,217,402",29.6,29.2,41,20,D.Murphy (7.7),C.Tanner (69-92),D.Murphy ,7.7,3,No,19,22
Atlanta Braves,1986,Atlanta Braves,NL West,161,72,89,0,0.447,0.429,6th of 6,23.5,,615,719,"1,387,181",29.7,28.9,36,16,D.Palmer (3.6),C.Tanner (72-89),D.Palmer ,3.6,3,No,17,20
Atlanta Braves,1985,Atlanta Braves,NL West,162,66,96,0,0.407,0.404,5th of 6,29,,632,781,"1,350,137",28.1,28.8,33,14,D.Murphy (5.0),E.Haas (50-71) and B.Wine (16-25),D.Murphy ,5,3,No,19,19
Atlanta Braves,1984,Atlanta Braves,NL West,162,80,82,0,0.494,0.484,2nd of 6,12,,632,655,"1,724,892",27.8,28.4,38,15,D.Murphy (5.6),J.Torre (80-82),D.Murphy ,5.6,3,No,11,14
Atlanta Braves,1983,Atlanta Braves,NL West,162,88,74,0,0.543,0.57,2nd of 6,3,,746,640,"2,119,935",27.7,29.2,40,17,D.Murphy (7.1),J.Torre (88-74),D.Murphy ,7.1,3,No,7,9
Atlanta Braves,1982,Atlanta Braves,NL West,162,89,73,0,0.549,0.523,1st of 6,--,Lost NLCS (3-0),739,702,"1,801,985",26.9,29.4,39,17,D.Murphy (6.1),J.Torre (89-73),D.Murphy ,6.1,3,3,6,10
Atlanta Braves,1981,Atlanta Braves,NL West,107,50,56,1,0.472,0.476,5th of 6,15,,395,416,"535,418",26.5,31.5,40,16,B.Benedict (2.6),B.Cox (50-56),B.Benedict ,2.6,3,No,16,24
Atlanta Braves,1980,Atlanta Braves,NL West,161,81,80,0,0.503,0.479,4th of 6,11,,630,660,"1,048,411",26.8,29.6,32,11,D.Murphy (6.6),B.Cox (81-80),D.Murphy ,6.6,3,No,12,22
Atlanta Braves,1979,Atlanta Braves,NL West,160,66,94,0,0.413,0.44,6th of 6,23.5,,669,763,"769,465",26.4,28.9,38,17,P.Niekro (7.7),B.Cox (66-94),P.Niekro ,7.7,3,No,23,25
Atlanta Braves,1978,Atlanta Braves,NL West,162,69,93,0,0.426,0.399,6th of 6,26,,600,750,"904,494",25.6,28.2,42,18,P.Niekro (10.4),B.Cox (69-93),P.Niekro ,10.4,3,No,20,22
Atlanta Braves,1977,Atlanta Braves,NL West,162,61,101,0,0.377,0.376,6th of 6,37,,678,895,"872,464",25.8,28.4,42,22,P.Niekro (8.5),"D.Bristol (60-100), T.Turner (0-1) and V.Benson (1-0)",P.Niekro ,8.5,3,No,20,24
Atlanta Braves,1976,Atlanta Braves,NL West,162,70,92,0,0.432,0.445,6th of 6,32,,620,700,"818,179",27.8,29.1,43,18,P.Niekro (6.9),D.Bristol (70-92),P.Niekro ,6.9,3,No,19,20
Atlanta Braves,1975,Atlanta Braves,NL West,161,67,94,0,0.416,0.393,5th of 6,40.5,,583,739,"534,672",27.2,29.5,40,19,P.Niekro (6.6),C.King (58-76) and C.Ryan (9-18),P.Niekro ,6.6,3,No,19,23
Atlanta Braves,1974,Atlanta Braves,NL West,163,88,74,1,0.543,0.573,3rd of 6,14,,661,563,"981,085",28.1,29.5,36,15,P.Niekro (8.0),E.Mathews (50-49) and C.King (38-25),P.Niekro ,8,3,No,6,18
Atlanta Braves,1973,Atlanta Braves,NL West,162,76,85,1,0.472,0.515,5th of 6,22.5,,799,774,"800,655",28,28.2,43,21,D.Evans (9.0),E.Mathews (76-85),D.Evans ,9,3,No,15,21
Atlanta Braves,1972,Atlanta Braves,NL West,155,70,84,1,0.455,0.432,4th of 6,25,,628,730,"752,973",27.2,28.2,36,17,P.Niekro (5.6),L.Harris (47-57) and E.Mathews (23-27),P.Niekro ,5.6,3,No,16,17
Atlanta Braves,1971,Atlanta Braves,NL West,162,82,80,0,0.506,0.462,3rd of 6,8,,643,699,"1,006,320",27.2,28.5,35,14,H.Aaron (7.2),L.Harris (82-80),H.Aaron ,7.2,3,No,10,15
Atlanta Braves,1970,Atlanta Braves,NL West,162,76,86,0,0.469,0.478,5th of 6,26,,736,772,"1,078,848",29.5,28.7,37,17,R.Carty (5.8),L.Harris (76-86),R.Carty ,5.8,3,No,12,13
Atlanta Braves,1969,Atlanta Braves,NL West,162,93,69,0,0.574,0.541,1st of 6,--,Lost NLCS (3-0),691,631,"1,458,320",29.1,27.5,39,18,H.Aaron (8.1),L.Harris (93-69),H.Aaron ,8.1,3,3,4,7
Atlanta Braves,1968,Atlanta Braves,NL,163,81,81,1,0.5,0.47,5th of 10,16,,514,549,"1,126,540",28.7,27.5,38,17,H.Aaron (6.8),L.Harris (81-81),H.Aaron ,6.8,3,No,10,9
Atlanta Braves,1967,Atlanta Braves,NL,162,77,85,0,0.475,0.494,7th of 10,24.5,,631,640,"1,389,222",28.7,28.1,41,18,H.Aaron (8.5),B.Hitchcock (77-82) and K.Silvestri (0-3),H.Aaron ,8.5,3,No,10,7
Atlanta Braves,1966,Atlanta Braves,NL,163,85,77,1,0.525,0.562,5th of 10,10,,782,683,"1,539,801",28.2,27.9,44,21,H.Aaron (7.8),B.Bragan (52-59) and B.Hitchcock (33-18),H.Aaron ,7.8,3,No,8,6
Atlanta Braves,1965,Milwaukee Braves,NL,162,86,76,0,0.531,0.551,5th of 10,11,,708,633,"555,584",28,26.5,37,14,H.Aaron (7.9),B.Bragan (86-76),H.Aaron ,7.9,3,No,,
Atlanta Braves,1964,Milwaukee Braves,NL,162,88,74,0,0.543,0.535,5th of 10,5,,803,744,"910,911",27.5,27.9,42,19,H.Aaron (6.8),B.Bragan (88-74),H.Aaron ,6.8,3,No,,
Atlanta Braves,1963,Milwaukee Braves,NL,163,84,78,1,0.519,0.553,6th of 10,15,,677,603,"773,018",27.6,28.1,37,14,H.Aaron (9.1),B.Bragan (84-78),H.Aaron ,9.1,3,No,,
Atlanta Braves,1962,Milwaukee Braves,NL,162,86,76,0,0.531,0.543,5th of 10,15.5,,730,665,"766,921",28.1,28.9,37,16,H.Aaron (8.6),B.Tebbetts (86-76),H.Aaron ,8.6,3,No,,
Atlanta Braves,1961,Milwaukee Braves,NL,155,83,71,1,0.539,0.537,4th of 8,10,,712,656,"1,101,441",28.8,30.8,40,16,H.Aaron (9.4),C.Dressen (71-58) and B.Tebbetts (12-13),H.Aaron ,9.4,3,No,,
Atlanta Braves,1960,Milwaukee Braves,NL,154,88,66,0,0.571,0.544,2nd of 8,7,,724,658,"1,497,799",30,30.4,36,14,H.Aaron (8.0),C.Dressen (88-66),H.Aaron ,8,3,No,,
Atlanta Braves,1959,Milwaukee Braves,NL,157,86,70,1,0.551,0.568,2nd of 8,2,,724,623,"1,749,112",29.5,30.2,37,11,H.Aaron (8.6),F.Haney (86-70),H.Aaron ,8.6,3,No,,
Atlanta Braves,1958,Milwaukee Braves,NL,154,92,62,0,0.597,0.6,1st of 8,--,Lost WS (4-3),675,541,"1,971,101",28.7,29.9,35,13,H.Aaron (7.3),F.Haney (92-62),H.Aaron ,7.3,3,2,,
Atlanta Braves,1957,Milwaukee Braves,NL,155,95,59,1,0.617,0.604,1st of 8,--,Won WS (4-3),772,613,"2,215,404",28,29,39,14,H.Aaron (8.0),F.Haney (95-59),H.Aaron ,8,3,1,,
Atlanta Braves,1956,Milwaukee Braves,NL,155,92,62,1,0.597,0.599,2nd of 8,1,,709,569,"2,046,331",27.5,28.6,33,14,H.Aaron (7.2),C.Grimm (24-22) and F.Haney (68-40),H.Aaron ,7.2,3,No,,
Atlanta Braves,1955,Milwaukee Braves,NL,154,85,69,0,0.552,0.549,2nd of 8,13.5,,743,668,"2,005,836",27.2,27.2,32,15,E.Mathews (7.3),C.Grimm (85-69),E.Mathews ,7.3,3,No,,
Atlanta Braves,1954,Milwaukee Braves,NL,154,89,65,0,0.578,0.585,3rd of 8,8,,670,556,"2,131,388",26.5,27.4,31,13,E.Mathews (8.0),C.Grimm (89-65),E.Mathews ,8,3,No,,
Atlanta Braves,1953,Milwaukee Braves,NL,157,92,62,3,0.597,0.602,2nd of 8,13,,738,589,"1,826,397",27.5,28.1,31,13,W.Spahn (9.0),C.Grimm (92-62),W.Spahn ,9,3,No,,
Atlanta Braves,1952,Boston Braves,NL,155,64,89,2,0.418,0.439,7th of 8,32,,569,651,"281,278",28.7,28.8,34,14,W.Spahn (6.8),T.Holmes (13-22) and C.Grimm (51-67),W.Spahn ,6.8,3,No,15,6
Atlanta Braves,1951,Boston Braves,NL,155,76,78,1,0.494,0.54,4th of 8,20.5,,723,662,"487,475",30,28,33,15,W.Spahn (7.9),B.Southworth (28-31) and T.Holmes (48-47),W.Spahn ,7.9,3,No,8,6
Atlanta Braves,1950,Boston Braves,NL,156,83,71,2,0.539,0.529,4th of 8,8,,785,736,"944,391",29.3,28.6,35,16,S.Gordon (6.4),B.Southworth (83-71),S.Gordon ,6.4,3,No,2,2
Atlanta Braves,1949,Boston Braves,NL,157,75,79,3,0.487,0.492,4th of 8,22,,706,719,"1,081,795",29.9,28.9,34,12,W.Spahn (5.6),B.Southworth (55-54) and J.Cooney (20-25),W.Spahn ,5.6,2,No,4,3
Atlanta Braves,1948,Boston Braves,NL,154,91,62,1,0.595,0.606,1st of 8,--,Lost WS (4-2),739,584,"1,455,439",29.6,29.6,35,16,J.Sain (8.6),B.Southworth (91-62),J.Sain ,8.6,2,2,8,3
Atlanta Braves,1947,Boston Braves,NL,154,86,68,0,0.558,0.552,3rd of 8,8,,701,626,"1,277,361",29.5,30.4,34,17,W.Spahn (9.3),B.Southworth (86-68),W.Spahn ,9.3,2,No,5,6
Atlanta Braves,1946,Boston Braves,NL,154,81,72,1,0.529,0.528,4th of 8,15.5,,630,592,"969,673",29.5,30.9,48,21,J.Sain (8.0),B.Southworth (81-72),J.Sain ,8,2,No,4,3
Atlanta Braves,1945,Boston Braves,NL,154,67,85,2,0.441,0.496,6th of 8,30,,721,728,"374,178",28.8,30.8,42,22,T.Holmes (8.0),B.Coleman (42-51) and D.Bissonette (25-34),T.Holmes ,8,2,No,3,1
Atlanta Braves,1944,Boston Braves,NL,155,65,89,1,0.422,0.442,6th of 8,40,,593,674,"208,691",27.7,29,37,14,J.Tobin (6.2),B.Coleman (65-89),J.Tobin ,6.2,2,No,4,1
Atlanta Braves,1943,Boston Braves,NL,153,68,85,0,0.444,0.377,6th of 8,36.5,,465,612,"271,289",26.9,28.2,37,18,N.Andrews (5.1),B.Coleman (21-25) and C.Stengel (47-60),N.Andrews ,5.1,2,No,9,3
Atlanta Braves,1942,Boston Braves,NL,150,59,89,2,0.399,0.398,7th of 8,44,,515,645,"285,332",27.1,26.6,34,15,E.Lombardi (3.8),C.Stengel (59-89),E.Lombardi ,3.8,2,No,9,6
Atlanta Braves,1941,Boston Braves,NL,156,62,92,2,0.403,0.411,7th of 8,38,,592,720,"263,680",27.7,26.2,39,15,J.Tobin (4.2),C.Stengel (62-92),J.Tobin ,4.2,2,No,8,6
Atlanta Braves,1940,Boston Bees,NL,152,65,87,0,0.428,0.419,7th of 8,34.5,,623,745,"241,616",26.3,28.1,41,17,E.Miller (4.8),C.Stengel (65-87),E.Miller ,4.8,2,No,,
Atlanta Braves,1939,Boston Bees,NL,152,63,88,1,0.417,0.436,7th of 8,32.5,,572,659,"285,994",28.4,31.1,39,15,M.West (4.6),C.Stengel (63-88),M.West ,4.6,2,No,,
Atlanta Braves,1938,Boston Bees,NL,153,77,75,1,0.507,0.456,5th of 8,12,,561,618,"341,149",28.6,30.4,39,17,E.Fletcher (3.5),C.Stengel (77-75),E.Fletcher ,3.5,2,No,,
Atlanta Braves,1937,Boston Bees,NL,152,79,73,0,0.52,0.519,5th of 8,16,,579,556,"385,339",28.2,30.8,30,12,J.Turner (6.1),B.McKechnie (79-73),J.Turner ,6.1,2,No,,
Atlanta Braves,1936,Boston Bees,NL,157,71,83,3,0.461,0.443,6th of 8,21,,631,715,"340,585",28.9,30.8,37,20,T.Cuccinello (5.7),B.McKechnie (71-83),T.Cuccinello ,5.7,2,No,,
Atlanta Braves,1935,Boston Braves,NL,153,38,115,0,0.248,0.327,8th of 8,61.5,,575,852,"232,754",29.3,33.2,31,11,W.Berger (5.7),B.McKechnie (38-115),W.Berger ,5.7,2,No,3,1
Atlanta Braves,1934,Boston Braves,NL,152,78,73,1,0.517,0.48,4th of 8,16,,683,714,"303,205",29.2,32.3,29,12,W.Berger (5.1),B.McKechnie (78-73),W.Berger ,5.1,2,No,1,1
Atlanta Braves,1933,Boston Braves,NL,156,83,71,2,0.539,0.518,4th of 8,9,,552,531,"517,803",29.3,32,31,11,W.Berger (6.9),B.McKechnie (83-71),W.Berger ,6.9,2,No,10,9
Atlanta Braves,1932,Boston Braves,NL,155,77,77,1,0.5,0.496,5th of 8,13,,649,655,"507,606",29.7,30.2,30,11,H.Betts (4.7),B.McKechnie (77-77),H.Betts ,4.7,2,No,9,8
Atlanta Braves,1931,Boston Braves,NL,156,64,90,2,0.416,0.39,7th of 8,37,,533,680,"515,005",30.3,30.2,32,11,E.Brandt (6.2),B.McKechnie (64-90),E.Brandt ,6.2,2,No,14,10
Atlanta Braves,1930,Boston Braves,NL,154,70,84,0,0.455,0.416,6th of 8,22,,693,835,"464,835",29.6,30.9,32,12,B.Smith (4.8),B.McKechnie (70-84),B.Smith ,4.8,2,No,9,6
Atlanta Braves,1929,Boston Braves,NL,154,56,98,0,0.364,0.371,8th of 8,43,,657,876,"372,351",30.6,29.7,43,15,S.Seibold (3.2),J.Fuchs (56-98),S.Seibold ,3.2,2,No,12,3
Atlanta Braves,1928,Boston Braves,NL,153,50,103,0,0.327,0.353,7th of 8,44.5,,631,878,"227,001",29.8,28.3,42,21,R.Hornsby (8.8),J.Slattery (11-20) and R.Hornsby (39-83),R.Hornsby ,8.8,2,No,12,10
Atlanta Braves,1927,Boston Braves,NL,155,60,94,1,0.39,0.423,7th of 8,34,,651,771,"288,685",29.8,29,36,15,B.Smith (3.3),D.Bancroft (60-94),B.Smith ,3.3,2,No,8,5
Atlanta Braves,1926,Boston Braves,NL,153,66,86,1,0.434,0.436,7th of 8,22,,624,719,"303,598",28.6,28.4,31,12,D.Bancroft (4.1),D.Bancroft (66-86),D.Bancroft ,4.1,2,No,10,5
Atlanta Braves,1925,Boston Braves,NL,153,70,83,0,0.458,0.443,5th of 8,25,,708,802,"313,528",28,27.9,38,15,D.Bancroft (5.1),D.Bancroft (70-83),D.Bancroft ,5.1,2,No,6,3
